author_id,name,birthdate,nationality
A1,J.K. Rowling,1965-07-31,British
A2,George R.R. Martin,1948-09-20,American
A3,J.R.R. Tolkien,1892-01-03,British
A4,Brandon Sanderson,1975-12-19,American
A5,Isaac Asimov,1920-01-02,American
A6,Arthur C. Clarke,1917-12-16,British
A7,Stephen King,1947-09-21,American
A8,Agatha Christie,1890-09-15,British
A9,Neil Gaiman,1960-11-10,British
A10,Ursula K. Le Guin,1929-10-21,American
A11,Andrzej Sapkowski,1948-06-21,Polish
A12,Orson Scott Card,1951-08-24,American
A13,Neal Stephenson,1959-10-31,American
A14,William Gibson,1948-03-17,American
A15,Frank Herbert,1920-10-08,American
A16,Arthur C. Clarke,1917-12-16,British
A17,Terry Pratchett,1948-04-28,British
A18,Arthur Conan Doyle,1859-05-22,British
A20,Stieg Larsson,1954-08-15,Swedish
